Customer ID,Age,Purchase Amount (USD),Review Rating,Previous Purchases,Age Group,Spending Tier,Rating Category,Loyalty Level,Gender,Item Purchased,Category,Location,Location Code,Size,Color,Season,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Payment Method,Frequency of Purchases
132,28,29,3.9,46,28-32,25-29,3.5-3.9,46-50,Male,Skirt,Clothing,Maine,ME,L,Indigo,Summer,Yes,Standard,Yes,Yes,Credit Card,Weekly
133,30,58,4.7,42,28-32,55-59,4.5-5.0,41-45,Male,Backpack,Accessories,New Mexico,NM,M,Orange,Fall,Yes,2-Day Shipping,Yes,Yes,PayPal,Weekly
134,52,65,2.5,25,48-52,65-69,2.5-2.9,21-25,Male,Sweater,Clothing,Montana,MT,M,Violet,Winter,Yes,Next Day Air,Yes,Yes,Venmo,Annually
135,43,94,4.9,25,43-47,90-94,4.5-5.0,21-25,Male,Hat,Accessories,Texas,TX,L,Gray,Fall,Yes,Store Pickup,Yes,Yes,Cash,Monthly
136,43,81,4.1,12,43-47,80-84,4.0-4.4,11-15,Male,Sandals,Footwear,Kansas,KS,M,Purple,Fall,Yes,Express,Yes,Yes,PayPal,Quarterly
137,39,86,3.3,4,38-42,85-89,3.0-3.4,1-5,Male,Blouse,Clothing,South Carolina,SC,M,White,Winter,Yes,Free Shipping,Yes,Yes,Debit Card,Quarterly
138,68,43,4.7,38,68-70,40-44,4.5-5.0,36-40,Male,Sneakers,Footwear,Colorado,CO,M,Turquoise,Spring,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
139,68,29,4.4,42,68-70,25-29,4.0-4.4,41-45,Male,Skirt,Clothing,Georgia,GA,M,Maroon,Winter,Yes,Store Pickup,Yes,Yes,Bank Transfer,Weekly
140,49,95,3.8,30,48-52,95-100,3.5-3.9,26-30,Male,Coat,Outerwear,Florida,FL,M,White,Fall,Yes,Store Pickup,Yes,Yes,Venmo,Annually
141,63,28,3.9,50,63-67,25-29,3.5-3.9,46-50,Male,Shirt,Clothing,North Carolina,NC,L,Yellow,Fall,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly
142,56,46,4.9,45,53-57,45-49,4.5-5.0,41-45,Male,Gloves,Accessories,Virginia,VA,M,Turquoise,Fall,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
143,37,58,3.1,33,33-37,55-59,3.0-3.4,31-35,Male,Jacket,Outerwear,Nebraska,NE,L,Violet,Fall,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly
144,30,48,2.7,25,28-32,45-49,2.5-2.9,21-25,Male,Coat,Outerwear,Missouri,MO,M,Beige,Fall,Yes,Store Pickup,Yes,Yes,PayPal,Quarterly
145,19,43,3.2,25,18-22,40-44,3.0-3.4,21-25,Male,Shoes,Footwear,New Jersey,NJ,M,Silver,Fall,Yes,Express,Yes,Yes,Cash,Monthly
146,24,95,4.5,44,23-27,95-100,4.5-5.0,41-45,Male,Jewelry,Accessories,Missouri,MO,M,Teal,Fall,Yes,Standard,Yes,Yes,Debit Card,Quarterly
